month,soi_index
July-1921,-0.878
August-1921,0.456
September-1921,0.974
October-1921,0.758
November-1921,0.815
December-1921,0.785
January-1922,0.773
February-1922,0.481
March-1922,-0.688
April-1922,-0.762
May-1922,0.449
June-1922,0.233
July-1922,-0.276
August-1922,0.463
September-1922,0.551
October-1922,0.758
November-1922,1.207
December-1922,0.561
January-1923,0.336
February-1923,0.844
March-1923,0.809
April-1923,-0.011
May-1923,-0.174
June-1923,-1.115
July-1923,-2.14
August-1923,-1.457
September-1923,-0.721
October-1923,-1.407
November-1923,0.13
December-1923,-0.681
January-1924,0.006
February-1924,0.111
March-1924,-1.954
April-1924,1.189
May-1924,0.845
June-1924,0.781
July-1924,0.882
August-1924,0.744
September-1924,0.626
October-1924,1.022
November-1924,0.482
December-1924,0.544
January-1925,1.224
February-1925,1.522
March-1925,1.484
April-1925,-0.297
May-1925,-0.819
June-1925,-1.313
July-1925,-1.241
August-1925,-0.657
September-1925,-1.496
October-1925,-0.968
November-1925,-0.892
December-1925,-0.619
January-1926,-1.556
February-1926,-1.646
March-1926,-0.752
April-1926,-0.284
May-1926,-1.047
June-1926,-0.086
July-1926,-0.92
August-1926,0.117
September-1926,0.244
October-1926,0.071
November-1926,0.587
December-1926,0.513
January-1927,0.006
February-1927,1.841
March-1927,0.746
April-1927,0.624
May-1927,0.913
June-1927,0.167
July-1927,-0.749
August-1927,-0.073
September-1927,-0.55
October-1927,-0.914
November-1927,0.747
December-1927,-1.219
January-1928,0.955
February-1928,1.376
March-1928,1.442
April-1928,-0.085
May-1928,-1.151
June-1928,-0.02
July-1928,0.795
August-1928,0.744
September-1928,0.766
October-1928,0.212
November-1928,1.204
December-1928,1.738
January-1929,1.686
February-1929,0.407
March-1929,0.577
April-1929,-1.2
May-1929,0.064
June-1929,0.207
July-1929,-0.17
August-1929,-0.073
September-1929,0.803
October-1929,0.952
November-1929,0.531
December-1929,1.306
January-1930,0.684
February-1930,0.039
March-1930,-0.33
April-1930,0.472
May-1930,-0.839
June-1930,-0.399
July-1930,-0.385
August-1930,-0.719
September-1930,0.461
October-1930,0.304
November-1930,-0.271
December-1930,0.632
January-1931,-1.606
February-1931,0.445
March-1931,1.104
April-1931,1.659
May-1931,2.232
June-1931,0.979
July-1931,-0.504
August-1931,0.353
September-1931,-1.002
October-1931,-0.368
November-1931,0.806
December-1931,0.207
January-1932,-0.359
February-1932,-0.723
March-1932,-2.755
April-1932,0.087
May-1932,-0.263
June-1932,-1.522
July-1932,-0.9
August-1932,-0.863
September-1932,-0.687
October-1932,-0.612
November-1932,0.25
December-1932,-1.219
January-1933,0.339
February-1933,-0.347
March-1933,0.472
April-1933,0.738
May-1933,-0.679
June-1933,0.376
July-1933,-0.234
August-1933,0.168
September-1933,0.174
October-1933,0.53
November-1933,0.811
December-1933,0.618
January-1934,-0.061
February-1934,-0.117
March-1934,0.641
April-1934,-0.756
May-1934,1.121
June-1934,0.299
July-1934,-2.444
August-1934,-0.644
September-1934,0.381
October-1934,1.213
November-1934,-0.38
December-1934,0.641
January-1935,-0.558
February-1935,1.205
March-1935,0.366
April-1935,-0.464
May-1935,-0.423
June-1935,-0.02
July-1935,0.001
August-1935,0.59
September-1935,0.596
October-1935,0.303
November-1935,-0.555
December-1935,-0.305
January-1936,-0.044
February-1936,0.052
March-1936,2.813
April-1936,0.267
May-1936,-0.367
June-1936,0.431
July-1936,-0.996
August-1936,0.232
September-1936,-0.112
October-1936,-1.548
November-1936,-0.035
December-1936,0.946
January-1937,-0.594
February-1937,0.555
March-1937,0.176
April-1937,0.194
May-1937,0.221
June-1937,-0.531
July-1937,0.204
August-1937,0.042
September-1937,-0.394
October-1937,-0.456
November-1937,0.643
December-1937,0.754
January-1938,0.208
February-1938,-0.552
March-1938,0.387
April-1938,1.176
May-1938,2.009
June-1938,1.867
July-1938,1.243
August-1938,0.686
September-1938,1.367
October-1938,-0.071
November-1938,1.423
December-1938,1.739
January-1939,0.656
February-1939,1.14
March-1939,1.126
April-1939,-0.098
May-1939,-0.367
June-1939,0.839
July-1939,-0.108
August-1939,-0.95
September-1939,-1.707
October-1939,-0.964
November-1939,-1.072
December-1939,-0.056
January-1940,-0.56
February-1940,-1.335
March-1940,-0.941
April-1940,-1.393
May-1940,-2.488
June-1940,-1.502
July-1940,-2.11
August-1940,-1.947
September-1940,-1.801
October-1940,-0.773
November-1940,-3.38
December-1940,-1.131
January-1941,-1.6
February-1941,-1.333
March-1941,-1.195
April-1941,-0.749
May-1941,-1.888
June-1941,-1.997
July-1941,-2.197
August-1941,-0.826
September-1941,-2.286
October-1941,-1.092
November-1941,-1.068
December-1941,-1.508
January-1942,-0.515
February-1942,-0.799
March-1942,-0.52
April-1942,0.247
May-1942,0.797
June-1942,-0.078
July-1942,0.298
August-1942,0.815
September-1942,0.696
October-1942,-0.642
November-1942,1.424
December-1942,0.879
January-1943,0.913
February-1943,0.291
March-1943,1.589
April-1943,0.252
May-1943,-1.127
June-1943,0.302
July-1943,0.691
August-1943,0.527
September-1943,0.794
October-1943,0.215
November-1943,-1.055
December-1943,-0.953
January-1944,0.3
February-1944,0.464
March-1944,-0.541
April-1944,0.015
May-1944,-0.608
June-1944,-0.848
July-1944,0.13
August-1944,0.217
September-1944,-1.03
October-1944,-0.836
November-1944,0.364
December-1944,0.434
January-1945,0.535
February-1945,1.33
March-1945,-0.731
April-1945,0.023
May-1945,0.797
June-1945,0.39
July-1945,1.063
August-1945,0.802
September-1945,0.211
October-1945,-0.447
November-1945,0.633
December-1945,-0.325
January-1946,0.294
February-1946,-0.385
March-1946,-1.026
April-1946,-1.192
May-1946,-1.323
June-1946,-0.985
July-1946,-0.635
August-1946,-1.575
September-1946,-1.384
October-1946,-0.248
November-1946,-0.714
December-1946,-0.633
January-1947,-0.564
February-1947,1.127
March-1947,-0.562
April-1947,-1.243
May-1947,0.165
June-1947,0.979
July-1947,0.657
August-1947,1.097
September-1947,-0.351
October-1947,0.753
November-1947,0.471
December-1947,-0.429
January-1948,-0.406
February-1948,-0.6
March-1948,0.261
April-1948,0.345
May-1948,-0.759
June-1948,0.095
July-1948,-0.546
August-1948,-0.76
September-1948,0.537
October-1948,0.186
November-1948,-0.719
December-1948,-0.862
January-1949,0.05
February-1949,0.494
March-1949,0.282
April-1949,-0.684
May-1949,-1.599
June-1949,-0.149
July-1949,-0.635
August-1949,0.169
September-1949,0.385
October-1949,-0.766
November-1949,0.769
December-1949,0.536
January-1950,1.581
February-1950,1.788
March-1950,1.674
April-1950,0.554
May-1950,3.057
June-1950,2.137
July-1950,1.142
August-1950,0.632
September-1950,1.682
October-1950,0.893
November-1950,2.461
December-1950,1.32
January-1951,0.474
February-1951,-0.706
March-1951,-1.026
April-1951,-1.293
May-1951,-0.522
June-1951,-1.33
July-1951,-0.749
August-1951,-1.168
September-1951,-1.439
October-1951,-0.985
November-1951,-0.901
December-1951,-0.925
January-1952,-0.826
February-1952,-0.024
March-1952,-0.731
April-1952,0.668
May-1952,0.777
June-1952,0.511
July-1952,-0.383
August-1952,-0.239
September-1952,0.117
October-1952,-0.224
November-1952,-1.4
December-1952,0.123
January-1953,-0.717
February-1953,-0.786
March-1953,-0.182
April-1953,-2.717
May-1953,-0.471
June-1953,-0.058
July-1953,-1.892
August-1953,-1.353
September-1953,-0.183
October-1953,-0.364
November-1953,-0.611
December-1953,0.572
January-1954,-0.518
February-1954,-0.307
March-1954,0.409
April-1954,0.146
May-1954,-0.495
June-1954,0.362
July-1954,0.899
August-1954,0.168
September-1954,0.085
October-1954,0.162
November-1954,1.315
December-1954,-0.678
January-1955,1.305
February-1955,0.128
March-1955,-0.815
April-1955,0.876
May-1955,1.626
June-1955,1.795
July-1955,1.379
August-1955,1.395
September-1955,1.514
October-1955,1.382
November-1955,0.909
December-1955,1.156
January-1956,1.103
February-1956,0.893
March-1956,1.062
April-1956,1.441
May-1956,1.257
June-1956,1.187
July-1956,1.05
August-1956,0.061
September-1956,1.921
October-1956,0.112
November-1956,0.989
December-1956,0.434
January-1957,-0.361
February-1957,-0.368
March-1957,0.05
April-1957,-1.179
May-1957,-0.367
June-1957,0.178
July-1957,-1.078
August-1957,-1.006
September-1957,-0.087
October-1957,-1.229
November-1957,-0.438
December-1957,-1.893
January-1958,-0.776
February-1958,-0.315
March-1958,0.029
April-1958,-1.391
May-1958,-0.266
June-1958,0.23
July-1958,0.721
August-1958,-0.344
September-1958,-0.558
October-1958,-0.612
November-1958,-0.838
December-1958,-0.939
January-1959,-1.497
February-1959,0.774
March-1959,0.345
April-1959,0.139
May-1959,-0.955
June-1959,-0.465
July-1959,-0.677
August-1959,-0.005
September-1959,0.34
October-1959,0.902
November-1959,0.815
December-1959,-0.047
January-1960,-0.247
February-1960,0.474
March-1960,0.788
April-1960,0.303
May-1960,-0.471
June-1960,0.497
July-1960,0.526
August-1960,0.653
September-1960,-0.196
October-1960,0.605
November-1960,0.633
December-1960,-0.429
January-1961,0.585
February-1961,-2.473
March-1961,1.147
April-1961,0.18
May-1961,-0.527
June-1961,0.184
July-1961,-0.162
August-1961,0.107
September-1961,-0.73
October-1961,0.68
November-1961,1.31
December-1961,1.716
January-1962,-0.414
February-1962,-0.322
March-1962,0.303
April-1962,1.104
May-1962,0.369
June-1962,-0.037
July-1962,0.258
August-1962,0.525
September-1962,0.948
October-1962,0.273
November-1962,-0.098
December-1962,0.799
January-1963,0.261
February-1963,0.66
March-1963,0.514
April-1963,0.139
May-1963,-1.3
June-1963,-0.132
July-1963,-0.432
August-1963,-0.597
September-1963,-1.456
October-1963,-0.93
November-1963,-1.352
December-1963,-0.525
January-1964,-0.129
February-1964,0.711
March-1964,1.779
April-1964,-0.019
May-1964,0.717
June-1964,0.618
July-1964,1.32
August-1964,1.287
September-1964,1.259
October-1964,-0.058
November-1964,-0.494
December-1964,-0.523
January-1965,0.009
February-1965,0.242
March-1965,-1.342
April-1965,-0.034
May-1965,-1.632
June-1965,-2.321
July-1965,-1.365
August-1965,-1.414
September-1965,-1.218
October-1965,-1.858
November-1965,0.022
December-1965,-1.355
January-1966,-0.536
February-1966,-1.747
March-1966,-0.899
April-1966,-0.715
May-1966,0.144
June-1966,-0.149
July-1966,0.189
August-1966,-0.239
September-1966,-0.325
October-1966,-0.202
November-1966,-0.607
December-1966,1.524
January-1967,1.199
February-1967,0.648
March-1967,-0.119
April-1967,-0.406
May-1967,0.673
June-1967,0.175
July-1967,0.439
August-1967,0.439
September-1967,-0.169
October-1967,-0.567
November-1967,-0.777
December-1967,0.473
January-1968,0.773
February-1968,-0.556
March-1968,-0.309
April-1968,1.212
May-1968,1.273
June-1968,0.767
July-1968,-0.204
August-1968,-0.358
September-1968,-0.353
October-1968,-0.442
November-1968,0.126
December-1968,-1.356
January-1969,-0.853
February-1969,-0.026
March-1969,-0.899
April-1969,-0.777
May-1969,-0.239
June-1969,-0.727
July-1969,-0.707
August-1969,-1.1
September-1969,-1.355
October-1969,-0.177
November-1969,0.243
December-1969,-1.256
January-1970,-1.219
February-1970,0.058
March-1970,-0.562
April-1970,0.038
May-1970,1.017
June-1970,-0.52
July-1970,0.305
August-1970,1.177
September-1970,0.741
October-1970,1.85
November-1970,1.832
December-1970,0.233
January-1971,1.442
February-1971,1.976
March-1971,2.581
April-1971,0.882
May-1971,0.212
June-1971,0.167
July-1971,1.421
August-1971,1.512
September-1971,1.752
October-1971,0.555
November-1971,0.145
December-1971,0.329
January-1972,0.673
February-1972,0.128
March-1972,-0.456
April-1972,-1.522
May-1972,-1.683
June-1972,-1.844
July-1972,-1.115
August-1972,-1.477
September-1972,-1.134
October-1972,-0.384
November-1972,-1.47
December-1972,-0.429
January-1973,-1.466
February-1973,-0.064
March-1973,-0.372
April-1973,0.252
May-1973,1.222
June-1973,0.626
July-1973,1.179
August-1973,1.271
September-1973,0.85
October-1973,2.847
November-1973,1.762
December-1973,2.163
January-1974,1.487
February-1974,2.105
March-1974,1.273
April-1974,1.238
May-1974,0.141
June-1974,1.229
July-1974,0.555
August-1974,1.163
September-1974,0.723
October-1974,-0.423
November-1974,-0.144
December-1974,-0.625
January-1975,0.459
February-1975,1.135
March-1975,1.484
April-1975,0.51
May-1975,1.685
June-1975,2.129
July-1975,2.03
August-1975,2.151
September-1975,1.67
October-1975,1.246
November-1975,2.054
December-1975,1.187
January-1976,1.185
February-1976,1.334
March-1976,0.24
April-1976,0.501
May-1976,-0.159
June-1976,-1.238
July-1976,-1.459
August-1976,-1.292
September-1976,0.13
October-1976,0.761
November-1976,-0.48
December-1976,-0.393
January-1977,0.647
February-1977,-1.202
March-1977,-1.173
April-1977,-1.185
May-1977,-2.327
June-1977,-1.453
July-1977,-1.422
August-1977,-0.946
September-1977,-1.386
October-1977,-1.556
November-1977,-1.228
December-1977,-0.48
January-1978,-2.632
February-1978,-0.818
March-1978,-0.878
April-1978,1.498
May-1978,0.402
June-1978,0.529
July-1978,0.12
August-1978,0.058
September-1978,-0.76
October-1978,-0.281
November-1978,-0.21
December-1978,-0.452
January-1979,0.608
February-1979,-0.488
March-1979,-0.646
April-1979,0.459
May-1979,0.58
June-1979,-0.764
July-1979,-0.692
August-1979,0.113
September-1979,-0.367
October-1979,-0.612
November-1979,-0.896
December-1979,0.275
January-1980,-0.017
February-1980,-1.065
March-1980,-1.595
April-1980,-0.349
May-1980,-0.679
June-1980,-0.144
July-1980,-0.056
August-1980,-0.538
September-1980,-0.337
October-1980,-0.472
November-1980,-0.209
December-1980,0.272
January-1981,-0.469
February-1981,-2.009
March-1981,-0.604
April-1981,0.817
May-1981,1.281
June-1981,0.873
July-1981,0.404
August-1981,0.52
September-1981,-0.705
October-1981,0.075
November-1981,0.405
December-1981,0.867
January-1982,-0.034
February-1982,0.052
March-1982,-0.456
April-1982,-0.735
May-1982,-2.488
June-1982,-1.89
July-1982,-2.662
August-1982,-2.122
September-1982,-2.204
October-1982,-3.248
November-1982,-2.476
December-1982,-3.362
January-1983,-3.463
February-1983,-3.255
March-1983,-1.405
April-1983,0.787
May-1983,-0.584
June-1983,-0.704
July-1983,-0.365
August-1983,0.913
September-1983,0.34
October-1983,-0.115
November-1983,-0.167
December-1983,-0.033
January-1984,0.434
February-1984,-0.847
March-1984,0.387
April-1984,-0.034
May-1984,-1.219
June-1984,0.121
July-1984,0.098
August-1984,0.171
September-1984,-0.607
October-1984,0.117
November-1984,-0.239
December-1984,-0.548
January-1985,0.787
February-1985,0.2
March-1985,1.421
April-1985,-0.146
May-1985,-1.395
June-1985,-0.198
July-1985,0.662
August-1985,0.002
September-1985,-0.76
October-1985,-0.348
November-1985,0.124
December-1985,0.824
January-1986,-1.283
February-1986,-0.085
March-1986,0.113
April-1986,-0.635
May-1986,1.014
June-1986,0.241
July-1986,-0.853
August-1986,-0.529
September-1986,0.535
October-1986,-1.573
November-1986,-1.64
December-1986,-0.755
January-1987,-1.409
February-1987,-2.026
March-1987,-2.692
April-1987,-2.116
May-1987,-2.687
June-1987,-1.816
July-1987,-1.667
August-1987,-1.128
September-1987,-0.691
October-1987,-0.074
November-1987,-0.664
December-1987,-0.313
January-1988,-0.645
February-1988,0.126
March-1988,-0.035
April-1988,1.088
May-1988,-0.2
June-1988,1.166
July-1988,1.362
