Month,SOI_index,Weather
01/04/1905,-1.678,El Nino
01/05/1905,-2.295,El Nino
01/06/1905,-2.105,El Nino
01/07/1905,-0.964,El Nino
01/08/1905,-0.697,El Nino
01/09/1905,-0.828,El Nino
01/10/1905,-1.808,El Nino
01/11/1905,-1.569,El Nino
01/12/1905,-0.427,La Nada
01/01/1906,-0.875,El Nino
01/02/1906,-0.56,El Nino
01/03/1906,-0.836,El Nino
01/04/1906,-1.027,El Nino
01/05/1906,-0.715,El Nino
01/06/1906,0.678,La Nina
01/07/1906,1.426,La Nina
01/08/1906,1.748,La Nina
01/09/1906,0.807,La Nina
01/10/1906,1.953,La Nina
01/11/1906,0.302,La Nada
01/12/1906,0.561,La Nina
01/01/1907,-0.225,La Nada
01/02/1907,-0.315,La Nada
01/03/1907,-0.836,El Nino
01/04/1907,-0.57,El Nino
01/05/1907,0.449,La Nada
01/06/1907,-0.031,La Nada
01/07/1907,-1.048,El Nino
01/08/1907,-0.068,La Nada
01/09/1907,-0.435,La Nada
01/10/1907,-0.579,El Nino
01/11/1907,0.65,La Nina
01/12/1907,-0.987,El Nino
01/01/1908,0.837,La Nina
01/02/1908,-0.412,La Nada
01/03/1908,1.02,La Nina
01/04/1908,0.18,La Nada
01/05/1908,-0.631,El Nino
01/06/1908,1.433,La Nina
01/07/1908,0.204,La Nada
01/08/1908,1.666,La Nina
01/09/1908,0.721,La Nina
01/10/1908,0.087,La Nada
01/11/1908,-0.712,El Nino
01/12/1908,-0.297,La Nada
01/01/1909,-0.395,La Nada
01/02/1909,-0.148,La Nada
01/03/1909,-1.785,El Nino
01/04/1909,0.074,La Nada
01/05/1909,2.633,La Nina
01/06/1909,1.083,La Nina
01/07/1909,0.892,La Nina
01/08/1909,0.064,La Nada
01/09/1909,0.203,La Nada
01/10/1909,0.741,La Nina
01/11/1909,0.414,La Nada
01/12/1909,0.601,La Nina
01/01/1910,1.42,La Nina
01/02/1910,1.25,La Nina
01/03/1910,0.388,La Nada
01/04/1910,0.087,La Nada
01/05/1910,2.493,La Nina
01/06/1910,2.065,La Nina
01/07/1910,0.892,La Nina
01/08/1910,1.46,La Nina
01/09/1910,1.044,La Nina
01/10/1910,1.742,La Nina
01/11/1910,1.659,La Nina
01/12/1910,0.304,La Nada
01/01/1911,0.009,La Nada
01/02/1911,0.223,La Nada
01/03/1911,0.05,La Nada
01/04/1911,-0.735,El Nino
01/05/1911,-1.552,El Nino
01/06/1911,-1.258,El Nino
01/07/1911,-1.415,El Nino
01/08/1911,-0.875,El Nino
01/09/1911,-1.3,El Nino
01/10/1911,-0.806,El Nino
01/11/1911,-0.268,La Nada
01/12/1911,-1.114,El Nino
01/01/1912,-1.827,El Nino
01/02/1912,-1.143,El Nino
01/03/1912,-2.27,El Nino
01/04/1912,-1.122,El Nino
01/05/1912,-0.991,El Nino
01/06/1912,-0.049,La Nada
01/07/1912,-0.942,El Nino
01/08/1912,-0.397,La Nada
01/09/1912,-0.973,El Nino
01/10/1912,0.125,La Nada
01/11/1912,-1.009,El Nino
01/12/1912,-0.41,La Nada
01/01/1913,-0.627,El Nino
01/02/1913,0.008,La Nada
01/03/1913,-0.794,El Nino
01/04/1913,-0.565,El Nino
01/05/1913,-0.596,El Nino
01/06/1913,-0.124,La Nada
01/07/1913,-0.92,El Nino
01/08/1913,-0.95,El Nino
01/09/1913,-1.018,El Nino
01/10/1913,-1.249,El Nino
01/11/1913,-0.892,El Nino
01/12/1913,-0.737,El Nino
01/01/1914,0.185,La Nada
01/02/1914,0.88,La Nina
01/03/1914,-2.27,El Nino
01/04/1914,-1.213,El Nino
01/05/1914,-2.639,El Nino
01/06/1914,-0.974,El Nino
01/07/1914,-1.84,El Nino
01/08/1914,-1.474,El Nino
01/09/1914,-0.729,El Nino
01/10/1914,-0.47,El Nino
01/11/1914,0.169,La Nada
01/12/1914,-2.711,El Nino
01/01/1915,-0.594,El Nino
01/02/1915,-2.495,El Nino
01/03/1915,-1.49,El Nino
01/04/1915,1.216,La Nina
01/05/1915,2.68,La Nina
01/06/1915,2.528,La Nina
01/07/1915,1.298,La Nina
01/08/1915,1.344,La Nina
01/09/1915,0.948,La Nina
01/10/1915,-1.743,El Nino
01/11/1915,0.991,La Nina
01/12/1915,0.561,La Nina
01/01/1916,-0.524,El Nino
01/02/1916,-0.835,El Nino
01/03/1916,0.008,La Nada
01/04/1916,0.432,La Nada
01/05/1916,0.746,La Nina
01/06/1916,2.574,La Nina
01/07/1916,1.513,La Nina
01/08/1916,0.417,La Nada
01/09/1916,0.359,La Nada
01/10/1916,0.774,La Nina
01/11/1916,1.623,La Nina
01/12/1916,0.457,La Nada
01/01/1917,0.984,La Nina
01/02/1917,1.862,La Nina
01/03/1917,2.581,La Nina
01/04/1917,2.397,La Nina
01/05/1917,2.389,La Nina
01/06/1917,2.827,La Nina
01/07/1917,3.483,La Nina
01/08/1917,2.843,La Nina
01/09/1917,1.512,La Nina
01/10/1917,1.933,La Nina
01/11/1917,2.397,La Nina
01/12/1917,1.459,La Nina
01/01/1918,1.583,La Nina
01/02/1918,-0.389,La Nada
01/03/1918,2.074,La Nina
01/04/1918,1.088,La Nina
01/05/1918,-0.783,El Nino
01/06/1918,-1.379,El Nino
01/07/1918,-0.642,El Nino
